sequence_number,V_allele,D_allele,J_allele
47,ighv4-30-2*05,ighd1-1*01,ighj4*03
48,ighv1-45*01,ighd5-18*01,ighj5*01
49,ighv3-66*01,ighd4-17*01,ighj1*01
50,ighv2-26*03,ighd3-22*01,ighj6*04
51,ighv1-69-2*01,ighd3-3*01,ighj1*01
52,ighv2-70d*04,ighd7-27*01,ighj6*01
53,ighv1-58*01,ighd5-12*01,ighj4*02
54,ighv1-45*02,ighd6-13*01,ighj6*04
55,ighv1-46*03,ighd6-25*01,ighj4*02
56,ighv1-58*01,ighd1-7*01,ighj4*02
57,ighv2-26*02,ighd2-15*01,ighj4*03
58,ighv1-18*03,ighd6-19*01,ighj4*02
59,ighv1-3*03,ighd3-22*01,ighj6*01
60,ighv3-73*01,ighd6-19*01,ighj4*03
61,ighv1-3*03,ighd3-10*02,ighj2*01
62,ighv2-70*20,ighd5-5*01,ighj4*03
63,ighv3-66*01,ighd3-16*02,ighj4*03
64,ighv2-26*03,ighd3-3*01,ighj2*01
65,ighv3-66*01,ighd3-9*01,ighj3*02
66,ighv1-69-2*01,ighd6-25*01,ighj4*03
67,ighv1-18*03,ighd2-2*02,ighj6*04
68,ighv1-8*02,ighd1-20*01,ighj3*02
69,ighv1-3*03,ighd6-6*01,ighj4*03
70,ighv2-5*02,ighd6-19*01,ighj3*02
71,ighv3-7*03,ighd5-5*01,ighj6*01
72,ighv1-18*03,ighd4-17*01,ighj4*02
73,ighv1-58*02,ighd6-19*01,ighj6*01
74,ighv2-5*01,ighd3-3*01,ighj6*04
75,ighv3-74*03,ighd6-6*01,ighj4*02
76,ighv4-59*01,ighd5-18*01,ighj4*02
77,ighv3-23*01,ighd3-9*01,ighj3*01
78,ighv1-69*09,ighd4-17*01,ighj6*04
79,ighv1-69d*01,ighd2-8*02,ighj4*03
80,ighv2-70*20,ighd3-22*01,ighj3*02
81,ighv6-1*02,ighd3-3*02,ighj6*01
82,ighv3-7*03,ighd4-17*01,ighj6*01
83,ighv1-24*01,ighd6-6*01,ighj4*03
84,ighv1-69*09,ighd6-19*01,ighj5*02
85,ighv2-5*02,ighd3-16*02,ighj5*01
86,ighv1-58*02,ighd6-6*01,ighj5*01
87,ighv1-18*03,ighd5-12*01,ighj3*01
88,ighv1-45*01,ighd3-10*02,ighj3*02
89,ighv1-24*01,ighd1-26*01,ighj4*02
90,ighv1-46*03,ighd7-27*01,ighj4*02
91,ighv3-73*01,ighd4-17*01,ighj1*01
92,ighv1-8*01,ighd1-20*01,ighj3*01
93,ighv1-69d*01,ighd3-3*01,ighj4*02
94,ighv1-3*02,ighd3-16*01,ighj1*01
95,ighv1-69-2*01,ighd3-9*01,ighj6*04
96,ighv4-30-2*03,ighd3-3*01,ighj4*02
97,ighv4-34*10,ighd4-4*01,ighj4*03
98,ighv1-24*01,ighd5-18*01,ighj2*01
99,ighv1-24*01,ighd3-16*01,ighj6*04
100,ighv5-51*07,ighd3-9*01,ighj4*03
101,ighv1-18*03,ighd1-20*01,ighj4*02
102,ighv1-46*04,ighd3-9*01,ighj4*03
103,ighv3-13*01,ighd4-17*01,ighj6*04
104,ighv1-69d*01,ighd2-15*01,ighj5*01
105,ighv1-46*03,ighd3-22*01,ighj4*02
106,ighv4-61*08,ighd3-16*02,ighj4*03
107,ighv2-70*20,ighd3-3*02,ighj4*03
108,ighv1-2*07,ighd3-22*01,ighj6*01
109,ighv1-58*02,ighd6-13*01,ighj4*03
110,ighv1-18*03,ighd2-15*01,ighj4*02
111,ighv1-24*01,ighd6-25*01,ighj4*02
112,ighv5-51*07,ighd2-15*01,ighj5*01
113,ighv3-33*02,ighd3-9*01,ighj4*03
114,ighv4-38-2*02,ighd6-25*01,ighj4*03
115,ighv2-26*02,ighd6-13*01,ighj4*03
116,ighv2-70d*04,ighd3-10*02,ighj4*03
117,ighv1-2*07,ighd4-17*01,ighj4*03
118,ighv1-69d*01,ighd6-13*01,ighj3*02
119,ighv3-49*01,ighd2-15*01,ighj6*04
120,ighv3-20*04,ighd2-21*01,ighj5*02
121,ighv2-26*02,ighd6-25*01,ighj4*03
122,ighv3-15*05,ighd3-22*01,ighj4*02
123,ighv1-58*02,ighd5-12*01,ighj6*01
124,ighv4-31*10,ighd3-22*01,ighj5*02
125,ighv2-26*02,ighd2-8*02,ighj3*02
126,ighv1-45*02,ighd6-13*01,ighj4*02
127,ighv3-66*03,ighd3-22*01,ighj2*01
128,ighv2-26*03,ighd4-17*01,ighj6*04
129,ighv1-8*01,ighd6-6*01,ighj4*02
130,ighv2-26*03,ighd6-19*01,ighj4*02
131,ighv3-74*02,ighd1-1*01,ighj4*03
132,ighv2-26*03,ighd6-13*01,ighj5*02
133,ighv4-30-2*03,ighd4-4*01,ighj4*02
134,ighv3-21*06,ighd5-5*01,ighj5*01
135,ighv4-28*05,ighd4-4*01,ighj6*04
136,ighv1-2*06,ighd5-5*01,ighj5*02
137,ighv3-11*05,ighd2-21*01,ighj4*02
138,ighv1-8*01,ighd2-15*01,ighj4*02
139,ighv1-18*04,ighd3-10*02,ighj3*02
140,ighv1-69*14,ighd4-17*01,ighj4*03
141,ighv2-26*02,ighd3-16*02,ighj4*03
142,ighv2-70d*04,ighd5-12*01,ighj4*03
143,ighv3-53*02,ighd6-19*01,ighj5*01
144,ighv3-64d*06,ighd2-15*01,ighj4*03
145,ighv1-69d*01,ighd1-1*01,ighj4*03
146,ighv1-3*03,ighd5-5*01,ighj4*03
147,ighv3-64*03,ighd1-1*01,ighj4*03
148,ighv1-69*14,ighd3-16*02,ighj4*03
149,ighv1-46*03,ighd5-18*01,ighj4*02
150,ighv1-69*14,ighd6-19*01,ighj4*03
151,ighv4-30-4*01,ighd5-5*01,ighj3*01
152,ighv3-66*01,ighd2-15*01,ighj4*03
153,ighv2-26*03,ighd2-2*02,ighj4*02
154,ighv1-18*03,ighd3-9*01,ighj3*01
155,ighv3-7*05,ighd2-15*01,ighj4*02
156,ighv3-64*03,ighd5-18*01,ighj4*03
157,ighv1-18*03,ighd5-18*01,ighj3*01
158,ighv3-nl1*01,ighd3-3*02,ighj3*02
159,ighv6-1*02,ighd2-8*02,ighj2*01
160,ighv3-72*01,ighd1-26*01,ighj4*03
161,ighv1-24*01,ighd6-6*01,ighj4*03
162,ighv1-58*02,ighd4-4*01,ighj6*01
163,ighv2-70d*04,ighd4-17*01,ighj4*03
164,ighv3-11*05,ighd1-1*01,ighj4*02
165,ighv3-72*01,ighd6-25*01,ighj6*04
166,ighv3-62*04,ighd1-20*01,ighj4*02
167,ighv1-3*03,ighd1-7*01,ighj4*03
168,ighv3-66*01,ighd4-17*01,ighj4*03
169,ighv3-21*06,ighd3-3*02,ighj4*03
170,ighv2-5*01,ighd6-13*01,ighj5*02
171,ighv1-3*03,ighd2-15*01,ighj4*03
172,ighv1-69-2*01,ighd1-20*01,ighj3*02
173,ighv2-70d*04,ighd7-27*01,ighj4*03
174,ighv1-45*02,ighd6-6*01,ighj4*02
175,ighv3-30-3*02,ighd3-3*02,ighj4*03
176,ighv4-59*11,ighd6-6*01,ighj6*01
177,ighv3-30*03,ighd4-4*01,ighj3*01
178,ighv1-69-2*01,ighd3-16*02,ighj1*01
179,ighv1-46*04,ighd3-16*02,ighj3*02
180,ighv3-62*04,ighd6-25*01,ighj6*04
181,ighv2-5*01,ighd6-6*01,ighj4*02
182,ighv1-58*01,ighd3-22*01,ighj6*04
183,ighv1-24*01,ighd3-9*01,ighj4*02
184,ighv3-66*01,ighd4-17*01,ighj6*01
185,ighv1-24*01,ighd2-15*01,ighj4*02
186,ighv1-69*09,ighd5-18*01,ighj4*02
187,ighv3-43d*03,ighd3-3*02,ighj4*03
188,ighv1-46*03,ighd2-21*01,ighj5*02
189,ighv1-46*03,ighd6-19*01,ighj6*04
190,ighv3-43*02,ighd3-10*01,ighj1*01
191,ighv3-49*05,ighd2-2*01,ighj6*01
192,ighv2-5*01,ighd3-16*01,ighj4*02
193,ighv2-26*03,ighd6-25*01,ighj4*02
194,ighv3-23*04,ighd5-18*01,ighj3*02
195,ighv1-8*01,ighd4-17*01,ighj4*02
196,ighv3-53*01,ighd2-8*01,ighj3*01
197,ighv3-35*02,ighd5-18*01,ighj6*04
198,ighv1-69-2*01,ighd5-12*01,ighj4*03
199,ighv3-64d*09,ighd3-3*01,ighj5*02
200,ighv1-69*14,ighd6-25*01,ighj3*02
201,ighv1-58*01,ighd3-10*01,ighj3*01
202,ighv5-10-1*03,ighd6-25*01,ighj3*01
203,ighv1-2*06,ighd3-16*01,ighj4*02
204,ighv2-26*02,ighd4-17*01,ighj4*03
205,ighv3-15*05,ighd6-19*01,ighj4*02
206,ighv3-23*04,ighd3-3*02,ighj5*01
207,ighv2-70*20,ighd3-22*01,ighj4*03
208,ighv1-3*02,ighd1-20*01,ighj3*01
209,ighv3-64*03,ighd7-27*01,ighj6*01
210,ighv1-24*01,ighd1-1*01,ighj4*02
211,ighv3-21*02,ighd6-25*01,ighj1*01
212,ighv1-18*03,ighd3-3*01,ighj4*02
213,ighv1-69d*01,ighd3-22*01,ighj4*03
214,ighv3-35*02,ighd6-6*01,ighj4*03
215,ighv2-26*02,ighd6-19*01,ighj5*01
216,ighv2-5*01,ighd3-16*01,ighj3*01
217,ighv4-38-2*01,ighd5-12*01,ighj2*01
218,ighv4-30-2*03,ighd2-8*01,ighj4*02
219,ighv1-46*03,ighd6-13*01,ighj4*02
220,ighv1-46*03,ighd3-16*01,ighj4*02
221,ighv2-70d*14,ighd2-21*01,ighj4*02
222,ighv3-23*01,ighd1-1*01,ighj4*02
223,ighv3-73*01,ighd2-15*01,ighj3*02
224,ighv1-69d*01,ighd5-12*01,ighj3*01
225,ighv3-72*01,ighd3-22*01,ighj5*01
226,ighv3-64*05,ighd4-4*01,ighj4*02
227,ighv3-43*02,ighd5-5*01,ighj4*02
228,ighv4-31*02,ighd3-3*02,ighj3*02
229,ighv2-5*02,ighd1-26*01,ighj4*03
230,ighv3-30-3*03,ighd2-15*01,ighj6*04
231,ighv1-69-2*01,ighd3-9*01,ighj4*03
232,ighv1-69d*01,ighd1-7*01,ighj4*02
233,ighv2-26*03,ighd3-22*01,ighj4*02
234,ighv3-64*05,ighd2-8*01,ighj4*02
235,ighv1-69-2*01,ighd3-9*01,ighj4*03
236,ighv4-28*06,ighd2-2*01,ighj4*03
237,ighv1-69-2*01,ighd1-1*01,ighj6*01
238,ighv4-28*06,ighd3-9*01,ighj4*03
239,ighv1-69*14,ighd4-4*01,ighj6*01
240,ighv1-69*14,ighd3-3*02,ighj4*03
241,ighv1-69-2*01,ighd3-22*01,ighj4*02
242,ighv1-46*03,ighd1-7*01,ighj4*02
243,ighv1-24*01,ighd6-6*01,ighj4*02
244,ighv1-8*01,ighd1-20*01,ighj4*02
245,ighv1-2*06,ighd6-25*01,ighj3*01
246,ighv1-69-2*01,ighd5-12*01,ighj4*03
247,ighv2-70*20,ighd6-25*01,ighj6*01
248,ighv3-49*01,ighd4-17*01,ighj4*02
249,ighv1-3*02,ighd6-25*01,ighj4*02
250,ighv2-70*20,ighd3-10*02,ighj6*01
251,ighv3-23*01,ighd1-1*01,ighj4*02
252,ighv2-70*20,ighd5-12*01,ighj4*03
253,ighv1-58*02,ighd3-3*02,ighj4*03
254,ighv1-18*03,ighd3-3*01,ighj5*02
255,ighv2-70*10,ighd1-1*01,ighj6*04
256,ighv1-24*01,ighd6-13*01,ighj4*03
257,ighv3-11*05,ighd1-1*01,ighj6*04
258,ighv2-26*03,ighd2-21*01,ighj4*02
259,ighv3-21*02,ighd6-25*01,ighj5*02
260,ighv3-20*01,ighd3-16*02,ighj4*03
261,ighv1-58*02,ighd3-16*02,ighj4*03
262,ighv3-53*02,ighd1-20*01,ighj2*01
263,ighv1-3*02,ighd6-6*01,ighj4*02
264,ighv2-5*01,ighd6-25*01,ighj6*04
265,ighv2-70*20,ighd6-19*01,ighj4*03
266,ighv2-5*02,ighd6-6*01,ighj4*03
267,ighv1-2*06,ighd3-10*01,ighj4*02
268,ighv4-34*09,ighd3-16*01,ighj4*02
269,ighv1-3*03,ighd5-18*01,ighj4*03
270,ighv1-69*14,ighd5-12*01,ighj4*03
271,ighv1-3*02,ighd3-16*01,ighj4*02
272,ighv3-13*01,ighd6-25*01,ighj4*02
273,ighv3-30-5*02,ighd6-19*01,ighj6*01
274,ighv3-21*06,ighd5-5*01,ighj6*01
275,ighv3-72*01,ighd6-25*01,ighj3*02
276,ighv1-8*02,ighd2-2*01,ighj6*01
277,ighv1-8*01,ighd5-5*01,ighj5*02
278,ighv3-nl1*01,ighd3-16*01,ighj4*02
279,ighv3-9*01,ighd6-13*01,ighj4*02
280,ighv2-5*02,ighd2-8*02,ighj3*02
281,ighv1-3*03,ighd2-8*02,ighj4*03
282,ighv1-58*01,ighd1-20*01,ighj3*01
283,ighv1-3*03,ighd3-9*01,ighj4*03
284,ighv3-13*05,ighd4-4*01,ighj5*01
285,ighv3-9*01,ighd3-22*01,ighj4*02
286,ighv2-26*02,ighd3-9*01,ighj4*03
287,ighv1-46*04,ighd6-25*01,ighj4*03
288,ighv1-46*04,ighd3-16*02,ighj4*03
289,ighv3-48*03,ighd1-26*01,ighj3*01
290,ighv2-5*02,ighd3-3*02,ighj3*02
291,ighv1-3*02,ighd3-3*01,ighj4*02
292,ighv1-58*01,ighd1-1*01,ighj5*02
293,ighv2-70*10,ighd5-5*01,ighj6*04
294,ighv3-74*02,ighd3-10*02,ighj3*02
295,ighv1-69d*01,ighd1-1*01,ighj6*01
296,ighv3-66*01,ighd1-7*01,ighj6*01
297,ighv3-43*02,ighd3-16*01,ighj3*01
298,ighv3-23d*01,ighd4-4*01,ighj4*02
299,ighv3-33*02,ighd4-17*01,ighj3*02
300,ighv4-39*06,ighd4-4*01,ighj4*02
301,ighv1-3*02,ighd3-3*01,ighj4*02
302,ighv3-20*04,ighd1-20*01,ighj2*01
303,ighv1-18*03,ighd3-16*01,ighj4*02
304,ighv1-69*09,ighd1-1*01,ighj6*04
305,ighv1-58*01,ighd1-7*01,ighj4*02
306,ighv3-23d*01,ighd6-13*01,ighj5*01
307,ighv3-13*01,ighd3-3*01,ighj3*01
308,ighv3-49*05,ighd3-22*01,ighj5*01
309,ighv1-58*02,ighd6-19*01,ighj6*01
310,ighv3-48*04,ighd3-16*02,ighj1*01
311,ighv4-34*10,ighd1-1*01,ighj4*03
312,ighv3-13*05,ighd3-3*02,ighj1*01
313,ighv1-45*02,ighd3-16*01,ighj5*02
314,ighv1-69d*01,ighd5-18*01,ighj4*02
315,ighv1-2*07,ighd2-8*02,ighj6*01
316,ighv3-66*03,ighd2-2*02,ighj2*01
317,ighv1-69-2*01,ighd3-22*01,ighj6*04
318,ighv3-9*01,ighd2-8*01,ighj4*02
319,ighv4-38-2*01,ighd2-21*01,ighj6*04
320,ighv1-24*01,ighd3-22*01,ighj6*01
321,ighv3-64*03,ighd1-7*01,ighj4*03
322,ighv3-21*06,ighd6-19*01,ighj4*03
323,ighv3-48*03,ighd3-3*01,ighj4*02
324,ighv3-43*02,ighd3-16*01,ighj6*04
325,ighv2-26*02,ighd3-10*02,ighj4*03
326,ighv1-3*03,ighd5-12*01,ighj3*02
327,ighv1-69d*01,ighd4-17*01,ighj4*03
328,ighv1-69d*01,ighd2-15*01,ighj4*03
329,ighv1-69-2*01,ighd6-25*01,ighj3*01
330,ighv1-2*07,ighd6-6*01,ighj4*03
331,ighv2-70d*14,ighd1-26*01,ighj6*04
332,ighv3-49*01,ighd7-27*01,ighj3*01
333,ighv1-69*09,ighd5-18*01,ighj5*02
334,ighv1-8*01,ighd6-25*01,ighj4*02
335,ighv2-26*03,ighd2-15*01,ighj6*04
336,ighv7-4-1*02,ighd6-6*01,ighj3*01
337,ighv3-49*01,ighd2-2*02,ighj6*04
338,ighv3-23*01,ighd5-5*01,ighj5*02
339,ighv4-28*06,ighd2-15*01,ighj3*02
340,ighv1-69-2*01,ighd4-17*01,ighj6*04
341,ighv3-23*04,ighd1-7*01,ighj4*03
342,ighv1-45*02,ighd6-19*01,ighj5*02
343,ighv2-5*01,ighd4-4*01,ighj4*02
344,ighv1-2*06,ighd5-12*01,ighj4*02
345,ighv3-7*05,ighd3-22*01,ighj6*04
346,ighv2-70*10,ighd3-9*01,ighj6*04
347,ighv2-70d*14,ighd3-10*01,ighj4*02
348,ighv1-24*01,ighd4-4*01,ighj3*01
349,ighv4-59*01,ighd1-7*01,ighj6*04
350,ighv3-53*01,ighd2-15*01,ighj5*02
351,ighv2-70*20,ighd6-19*01,ighj5*01
352,ighv3-21*06,ighd1-26*01,ighj4*03
353,ighv3-7*05,ighd3-16*01,ighj4*02
354,ighv3-53*02,ighd5-12*01,ighj6*01
355,ighv2-70*20,ighd3-16*02,ighj3*02
356,ighv3-74*03,ighd3-3*01,ighj5*02
357,ighv1-69*14,ighd7-27*01,ighj2*01
358,ighv1-24*01,ighd3-9*01,ighj6*01
359,ighv3-21*02,ighd6-13*01,ighj4*02
360,ighv2-26*03,ighd3-22*01,ighj4*02
361,ighv3-62*04,ighd2-2*01,ighj4*03
362,ighv3-43d*03,ighd4-17*01,ighj4*03
363,ighv1-18*04,ighd5-5*01,ighj4*03
364,ighv4-4*08,ighd4-4*01,ighj6*01
365,ighv3-53*02,ighd2-21*02,ighj6*01
366,ighv1-45*02,ighd2-15*01,ighj4*02
367,ighv3-30-5*01,ighd5-18*01,ighj4*02
368,ighv2-26*02,ighd3-10*02,ighj4*03
369,ighv1-46*03,ighd3-22*01,ighj4*02
370,ighv2-70*20,ighd2-21*02,ighj5*01
371,ighv3-9*01,ighd1-26*01,ighj4*02
372,ighv1-69-2*01,ighd2-8*01,ighj6*04
373,ighv2-5*02,ighd3-16*02,ighj5*01
374,ighv3-7*03,ighd2-15*01,ighj3*02
375,ighv2-70*10,ighd3-22*01,ighj4*02
376,ighv1-69d*01,ighd2-8*02,ighj4*03
377,ighv1-8*02,ighd3-10*02,ighj4*03
378,ighv1-8*02,ighd1-1*01,ighj4*03
379,ighv6-1*02,ighd2-15*01,ighj4*03
380,ighv1-69-2*01,ighd2-2*02,ighj4*02
381,ighv5-10-1*04,ighd1-26*01,ighj4*03
382,ighv3-48*03,ighd1-7*01,ighj6*04
383,ighv3-74*03,ighd3-3*01,ighj6*04
384,ighv2-70d*04,ighd6-19*01,ighj5*01
385,ighv1-69*14,ighd4-17*01,ighj6*01
386,ighv1-18*04,ighd2-8*02,ighj6*01
387,ighv1-46*04,ighd2-8*02,ighj3*02
388,ighv4-28*05,ighd2-8*01,ighj3*01
389,ighv3-23*01,ighd4-17*01,ighj4*02
390,ighv1-24*01,ighd6-25*01,ighj4*03
391,ighv3-30*04,ighd1-1*01,ighj6*01
392,ighv4-28*05,ighd3-9*01,ighj4*02
393,ighv1-46*04,ighd6-13*01,ighj4*03
394,ighv3-43*02,ighd2-2*02,ighj6*04
395,ighv2-26*03,ighd2-21*01,ighj4*02
396,ighv3-9*01,ighd5-12*01,ighj4*02
397,ighv1-69-2*01,ighd3-22*01,ighj4*02
398,ighv2-5*02,ighd4-4*01,ighj4*03
399,ighv4-30-4*02,ighd6-25*01,ighj6*01
400,ighv1-24*01,ighd5-18*01,ighj2*01
401,ighv1-45*01,ighd5-5*01,ighj4*03
402,ighv2-5*01,ighd2-15*01,ighj6*04
403,ighv3-64d*09,ighd3-16*01,ighj4*02
404,ighv1-3*02,ighd6-6*01,ighj4*02
405,ighv3-11*05,ighd3-22*01,ighj6*04
406,ighv3-15*05,ighd6-25*01,ighj4*02
407,ighv3-48*04,ighd2-8*02,ighj3*02
408,ighv1-2*06,ighd2-21*01,ighj4*02
409,ighv1-3*02,ighd3-3*01,ighj3*01
410,ighv2-26*02,ighd1-1*01,ighj5*01
411,ighv1-45*01,ighd5-18*01,ighj2*01
412,ighv3-49*01,ighd1-20*01,ighj4*02
413,ighv1-46*04,ighd1-7*01,ighj4*03
414,ighv3-23*01,ighd4-17*01,ighj3*01
415,ighv1-18*03,ighd2-8*01,ighj4*02
416,ighv3-53*01,ighd4-4*01,ighj4*02
417,ighv4-30-2*03,ighd2-2*02,ighj4*02
418,ighv3-33*06,ighd3-10*01,ighj6*04
419,ighv3-72*01,ighd3-3*01,ighj4*02
420,ighv2-26*03,ighd5-12*01,ighj6*04
421,ighv1-69d*01,ighd2-2*02,ighj3*01
422,ighv3-74*02,ighd3-9*01,ighj1*01
423,ighv1-3*03,ighd4-17*01,ighj4*03
424,ighv3-11*05,ighd6-6*01,ighj4*02
425,ighv2-5*01,ighd3-16*01,ighj3*01
426,ighv4-30-2*05,ighd5-12*01,ighj4*03
427,ighv1-18*03,ighd6-13*01,ighj2*01
428,ighv3-30*04,ighd6-6*01,ighj2*01
429,ighv2-5*02,ighd6-13*01,ighj4*03
430,ighv4-30-2*03,ighd1-26*01,ighj4*02
431,ighv1-24*01,ighd1-7*01,ighj6*04
432,ighv4-30-4*01,ighd2-21*01,ighj4*02
433,ighv2-26*03,ighd5-5*01,ighj4*02
434,ighv1-3*02,ighd5-18*01,ighj4*02
435,ighv3-23*04,ighd3-3*02,ighj4*03
436,ighv3-62*04,ighd5-18*01,ighj4*02
437,ighv2-70*10,ighd3-16*01,ighj4*02
438,ighv1-8*02,ighd3-16*02,ighj3*02
439,ighv1-69*09,ighd7-27*01,ighj4*02
440,ighv3-23*04,ighd2-8*02,ighj6*01
441,ighv3-64*03,ighd2-2*01,ighj6*01
442,ighv4-34*09,ighd3-3*01,ighj4*02
443,ighv1-18*03,ighd4-4*01,ighj4*02
444,ighv3-15*05,ighd2-15*01,ighj4*02
445,ighv2-26*02,ighd5-5*01,ighj6*01
446,ighv1-69-2*01,ighd3-16*01,ighj6*04
447,ighv3-7*03,ighd1-20*01,ighj4*03
448,ighv1-45*01,ighd3-10*02,ighj6*01
449,ighv1-69*09,ighd6-13*01,ighj4*02
450,ighv2-70*20,ighd3-9*01,ighj4*03
451,ighv5-10-1*04,ighd1-26*01,ighj2*01
452,ighv1-45*02,ighd4-4*01,ighj2*01
453,ighv1-3*02,ighd3-3*01,ighj4*02
454,ighv3-11*06,ighd5-5*01,ighj3*02
455,ighv3-64d*06,ighd6-19*01,ighj3*02
456,ighv7-4-1*02,ighd6-13*01,ighj4*02
457,ighv1-69d*01,ighd2-21*02,ighj2*01
458,ighv1-46*04,ighd6-6*01,ighj5*01
459,ighv3-74*03,ighd3-3*01,ighj6*04
460,ighv2-70d*14,ighd3-3*01,ighj3*01
461,ighv3-35*02,ighd3-9*01,ighj5*02
462,ighv3-13*05,ighd3-10*02,ighj6*01
463,ighv2-5*01,ighd4-17*01,ighj4*02
464,ighv1-69d*01,ighd6-19*01,ighj4*03
465,ighv1-8*02,ighd3-10*02,ighj4*03
466,ighv5-10-1*04,ighd4-17*01,ighj6*01
467,ighv1-3*03,ighd4-4*01,ighj6*01
468,ighv5-10-1*03,ighd2-8*01,ighj4*02
469,ighv3-15*05,ighd6-19*01,ighj4*02
470,ighv4-34*10,ighd3-10*02,ighj6*01
471,ighv3-30-5*01,ighd3-22*01,ighj5*02
472,ighv3-74*02,ighd4-17*01,ighj4*03
473,ighv2-5*01,ighd2-21*01,ighj3*01
474,ighv2-26*03,ighd1-26*01,ighj4*02
475,ighv3-15*05,ighd3-10*01,ighj6*04
476,ighv1-18*04,ighd6-13*01,ighj4*03
477,ighv1-69*14,ighd6-25*01,ighj4*03
478,ighv1-46*03,ighd4-4*01,ighj4*02
479,ighv1-58*01,ighd3-3*01,ighj3*01
480,ighv3-72*01,ighd1-26*01,ighj4*02
481,ighv1-8*02,ighd2-21*02,ighj2*01
482,ighv5-51*07,ighd3-10*02,ighj4*03
483,ighv1-45*02,ighd1-26*01,ighj4*02
484,ighv1-46*04,ighd4-4*01,ighj5*01
485,ighv1-69d*01,ighd1-20*01,ighj6*01
486,ighv2-26*02,ighd6-25*01,ighj4*03
487,ighv3-43*01,ighd5-12*01,ighj4*03
488,ighv2-70*10,ighd3-10*01,ighj6*04
489,ighv2-26*02,ighd2-15*01,ighj6*01
490,ighv1-58*01,ighd4-4*01,ighj4*02
491,ighv1-69d*01,ighd3-22*01,ighj6*01
492,ighv1-58*02,ighd3-10*02,ighj4*03
493,ighv1-58*02,ighd3-10*02,ighj4*03
494,ighv3-15*06,ighd5-5*01,ighj6*01
495,ighv2-70*20,ighd4-4*01,ighj4*03
496,ighv1-69d*01,ighd3-16*02,ighj4*03
497,ighv4-34*09,ighd1-20*01,ighj4*02
498,ighv2-70*20,ighd2-8*02,ighj4*03
499,ighv3-43d*03,ighd6-6*01,ighj4*03
500,ighv1-58*02,ighd2-15*01,ighj4*03
501,ighv5-51*03,ighd3-3*01,ighj5*02
502,ighv1-45*02,ighd3-10*01,ighj4*02
503,ighv1-2*06,ighd3-3*01,ighj4*02
504,ighv3-72*01,ighd4-4*01,ighj5*01
505,ighv1-46*04,ighd6-13*01,ighj3*02
506,ighv1-69d*01,ighd3-9*01,ighj5*01
507,ighv3-30*03,ighd6-6*01,ighj3*01
508,ighv1-58*02,ighd1-20*01,ighj4*03
509,ighv3-33*02,ighd4-17*01,ighj6*01
510,ighv1-58*02,ighd2-15*01,ighj4*03
